Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1997,1997,1997,6,1,0,M,608,Philippines,PHL,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,375,-1,N/A,,375,,737,737,,0
H0,1997,1997,1997,6,1,0,M,608,Philippines,PHL,490,"Other Asia, nes",S19,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2375,-1,N/A,,2375,,1134,1134,,0
H0,1997,1997,1997,6,1,0,M,608,Philippines,PHL,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,272000,-1,N/A,,272000,,150569,150569,,0
H0,1997,1997,1997,6,1,0,M,608,Philippines,PHL,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,6518334,-1,N/A,,6518334,,3630085,3630085,,0
H0,1998,1998,1998,6,1,0,M,608,Philippines,PHL,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,33070,-1,N/A,,33070,,30246,30246,,0
H0,1998,1998,1998,6,1,0,M,608,Philippines,PHL,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,286937,-1,N/A,,286937,,152048,152048,,0
H0,1998,1998,1998,6,1,0,M,608,Philippines,PHL,764,Thailand,THA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,3240250,-1,N/A,,3240250,,1004868,1004868,,0
H0,1998,1998,1998,6,1,0,M,608,Philippines,PHL,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,232101,-1,N/A,,232101,,124223,124223,,0
H0,1998,1998,1998,6,1,0,M,608,Philippines,PHL,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,257062,-1,N/A,,257062,,149505,149505,,0
H0,1998,1998,1998,6,1,0,M,608,Philippines,PHL,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,929,-1,N/A,,929,,3656,3656,,0
H0,1998,1998,1998,6,1,0,M,608,Philippines,PHL,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,255000,-1,N/A,,255000,,119895,119895,,0
H0,1998,1998,1998,6,1,0,M,608,Philippines,PHL,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,3500,-1,N/A,,3500,,29770,29770,,0
H0,1998,1998,1998,6,1,0,M,608,Philippines,PHL,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,4308849,-1,N/A,,4308849,,1614211,1614211,,0
H0,1999,1999,1999,6,1,0,M,608,Philippines,PHL,579,Norway,NOR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1606875,-1,N/A,,1606875,,559673,559673,,0
H0,1999,1999,1999,6,1,0,M,608,Philippines,PHL,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,14473277,-1,N/A,,14473277,,5031250,5031250,,0
H0,1999,1999,1999,6,1,0,M,608,Philippines,PHL,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,470625,-1,N/A,,470625,,169449,169449,,0
H0,1999,1999,1999,6,1,0,M,608,Philippines,PHL,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,807562,-1,N/A,,807562,,364468,364468,,0
H0,1999,1999,1999,6,1,0,M,608,Philippines,PHL,764,Thailand,THA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,809375,-1,N/A,,809375,,249470,249470,,0
H0,1999,1999,1999,6,1,0,M,608,Philippines,PHL,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,3187,-1,N/A,,3187,,19893,19893,,0
H0,1999,1999,1999,6,1,0,M,608,Philippines,PHL,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,816062,-1,N/A,,816062,,253662,253662,,0
H0,1999,1999,1999,6,1,0,M,608,Philippines,PHL,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,8750,-1,N/A,,8750,,24238,24238,,0
H0,1999,1999,1999,6,1,0,M,608,Philippines,PHL,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1612625,-1,N/A,,1612625,,397032,397032,,0
H0,1999,1999,1999,6,1,0,M,608,Philippines,PHL,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,878,-1,N/A,,878,,2199,2199,,0
H0,1999,1999,1999,6,1,0,M,608,Philippines,PHL,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,239710,-1,N/A,,239710,,1517971,1517971,,0
H0,1999,1999,1999,6,1,0,M,608,Philippines,PHL,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,30828,-1,N/A,,30828,,213242,213242,,0
H0,1999,1999,1999,6,1,0,M,608,Philippines,PHL,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,20879754,-1,N/A,,20879754,,8802547,8802547,,0
H1,2000,2000,2000,6,1,0,M,608,Philippines,PHL,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,28525378,-1,N/A,,17044262,,14011492,14011492,,2
H1,2000,2000,2000,6,1,0,M,608,Philippines,PHL,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2691157,-1,N/A,,3987483,,1321880,1321880,,2
H1,2000,2000,2000,6,1,0,M,608,Philippines,PHL,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,17368,-1,N/A,,12800,,8531,8531,,2
H1,2000,2000,2000,6,1,0,M,608,Philippines,PHL,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,15678,-1,N/A,,1720,,7701,7701,,2
H1,2000,2000,2000,6,1,0,M,608,Philippines,PHL,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2465,-1,N/A,,444,,1211,1211,,2
H1,2000,2000,2000,6,1,0,M,608,Philippines,PHL,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1213720,-1,N/A,,61302,,596172,596172,,2
H1,2000,2000,2000,6,1,0,M,608,Philippines,PHL,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,9707,-1,N/A,,1753,,4768,4768,,2
H1,2000,2000,2000,6,1,0,M,608,Philippines,PHL,490,"Other Asia, nes",S19,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3856,-1,N/A,,748,,1894,1894,,2
H1,2000,2000,2000,6,1,0,M,608,Philippines,PHL,558,Nicaragua,NIC,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3929259,-1,N/A,,3319967,,1930028,1930028,,2
H1,2000,2000,2000,6,1,0,M,608,Philippines,PHL,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3057033,-1,N/A,,3888547,,1501596,1501596,,2
H1,2000,2000,2000,6,1,0,M,608,Philippines,PHL,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,15023735,-1,N/A,,1679498,,7379567,7379567,,2
H1,2000,2000,2000,6,1,0,M,608,Philippines,PHL,764,Thailand,THA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2197971,-1,N/A,,4067150,,1079630,1079630,,2
H1,2000,2000,2000,6,1,0,M,608,Philippines,PHL,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,122212,-1,N/A,,7838,,60030,60030,,2
H1,2000,2000,2000,6,1,0,M,608,Philippines,PHL,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,241216,-1,N/A,,15012,,118484,118484,,2
H1,2001,2001,2001,6,1,0,M,608,Philippines,PHL,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,14219687,-1,N/A,,15523373,,7727033,7727033,,2
H1,2001,2001,2001,6,1,0,M,608,Philippines,PHL,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5048004,-1,N/A,,6504583,,2743105,2743105,,2
H1,2001,2001,2001,6,1,0,M,608,Philippines,PHL,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1352272,-1,N/A,,1425103,,734830,734830,,2
H1,2001,2001,2001,6,1,0,M,608,Philippines,PHL,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,90117,-1,N/A,,26631,,48970,48970,,2
H1,2001,2001,2001,6,1,0,M,608,Philippines,PHL,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18704,-1,N/A,,13,,10164,10164,,2
H1,2001,2001,2001,6,1,0,M,608,Philippines,PHL,360,Indonesia,IDN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,671191,-1,N/A,,841998,,364728,364728,,2
H1,2001,2001,2001,6,1,0,M,608,Philippines,PHL,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,807050,-1,N/A,,77031,,438554,438554,,2
H1,2001,2001,2001,6,1,0,M,608,Philippines,PHL,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,9225,-1,N/A,,626,,5013,5013,,2
H1,2001,2001,2001,6,1,0,M,608,Philippines,PHL,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,555522,-1,N/A,,810,,301873,301873,,2
H1,2001,2001,2001,6,1,0,M,608,Philippines,PHL,586,Pakistan,PAK,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1609532,-1,N/A,,2016493,,874626,874626,,2
H1,2001,2001,2001,6,1,0,M,608,Philippines,PHL,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,567,-1,N/A,,100,,308,308,,2
H1,2001,2001,2001,6,1,0,M,608,Philippines,PHL,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,110993,-1,N/A,,76540,,60314,60314,,2
H1,2001,2001,2001,6,1,0,M,608,Philippines,PHL,764,Thailand,THA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3629727,-1,N/A,,4487821,,1972408,1972408,,2
H1,2001,2001,2001,6,1,0,M,608,Philippines,PHL,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,316781,-1,N/A,,65624,,172140,172140,,2
H1,2002,2002,2002,6,1,0,M,608,Philippines,PHL,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12490406,-1,N/A,,15375545,,6765671,6765671,,2
H1,2002,2002,2002,6,1,0,M,608,Philippines,PHL,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4456713,-1,N/A,,6288085,,2414065,2414065,,2
H1,2002,2002,2002,6,1,0,M,608,Philippines,PHL,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1326233,-1,N/A,,1310400,,718380,718380,,2
H1,2002,2002,2002,6,1,0,M,608,Philippines,PHL,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,65647,-1,N/A,,20842,,35559,35559,,2
H1,2002,2002,2002,6,1,0,M,608,Philippines,PHL,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4235,-1,N/A,,82,,2294,2294,,2
H1,2002,2002,2002,6,1,0,M,608,Philippines,PHL,360,Indonesia,IDN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,468799,-1,N/A,,790732,,253934,253934,,2
H1,2002,2002,2002,6,1,0,M,608,Philippines,PHL,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,860595,-1,N/A,,91678,,466158,466158,,2
H1,2002,2002,2002,6,1,0,M,608,Philippines,PHL,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3465,-1,N/A,,222,,1877,1877,,2
H1,2002,2002,2002,6,1,0,M,608,Philippines,PHL,490,"Other Asia, nes",S19,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,47302,-1,N/A,,96640,,25622,25622,,2
H1,2002,2002,2002,6,1,0,M,608,Philippines,PHL,586,Pakistan,PAK,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3424611,-1,N/A,,3899886,,1855007,1855007,,2
H1,2002,2002,2002,6,1,0,M,608,Philippines,PHL,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,978495,-1,N/A,,1659203,,530021,530021,,2
H1,2002,2002,2002,6,1,0,M,608,Philippines,PHL,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,854311,-1,N/A,,1217775,,462754,462754,,2
H1,2002,2002,2002,6,1,0,X,608,Philippines,PHL,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,9390,-1,N/A,,195,,4503,,4503,2
H1,2002,2002,2002,6,1,0,X,608,Philippines,PHL,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,580,-1,N/A,,30,,278,,278,2
H1,2002,2002,2002,6,1,0,X,608,Philippines,PHL,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4127,-1,N/A,,135,,1979,,1979,2
H1,2002,2002,2002,6,1,0,X,608,Philippines,PHL,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,104,-1,N/A,,10,,50,,50,2
H1,2002,2002,2002,6,1,0,X,608,Philippines,PHL,490,"Other Asia, nes",S19,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,521,-1,N/A,,3,,250,,250,2
H1,2002,2002,2002,6,1,0,X,608,Philippines,PHL,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4058,-1,N/A,,17,,1946,,1946,2
H1,2003,2003,2003,6,1,0,M,608,Philippines,PHL,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,19419456,-1,N/A,,23948938,,9750863,9750863,,2
H1,2003,2003,2003,6,1,0,M,608,Philippines,PHL,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5724861,-1,N/A,,7828780,,2874557,2874557,,2
H1,2003,2003,2003,6,1,0,M,608,Philippines,PHL,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,7869360,-1,N/A,,7207000,,3951349,3951349,,2
H1,2003,2003,2003,6,1,0,M,608,Philippines,PHL,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,143438,-1,N/A,,29088,,72023,72023,,2
H1,2003,2003,2003,6,1,0,M,608,Philippines,PHL,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,31343,-1,N/A,,2041,,15738,15738,,2
H1,2003,2003,2003,6,1,0,M,608,Philippines,PHL,360,Indonesia,IDN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3862875,-1,N/A,,6062960,,1939620,1939620,,2
H1,2003,2003,2003,6,1,0,M,608,Philippines,PHL,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,80967,-1,N/A,,11354,,40655,40655,,2
H1,2003,2003,2003,6,1,0,M,608,Philippines,PHL,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6144,-1,N/A,,298,,3085,3085,,2
H1,2003,2003,2003,6,1,0,M,608,Philippines,PHL,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6164,-1,N/A,,352,,3095,3095,,2
H1,2003,2003,2003,6,1,0,M,608,Philippines,PHL,490,"Other Asia, nes",S19,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4039,-1,N/A,,282,,2028,2028,,2
H1,2003,2003,2003,6,1,0,M,608,Philippines,PHL,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,82403,-1,N/A,,16285,,41376,41376,,2
H1,2003,2003,2003,6,1,0,M,608,Philippines,PHL,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5029,-1,N/A,,1415,,2525,2525,,2
H1,2003,2003,2003,6,1,0,M,608,Philippines,PHL,764,Thailand,THA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1520433,-1,N/A,,2774260,,763437,763437,,2
H1,2003,2003,2003,6,1,0,M,608,Philippines,PHL,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,82401,-1,N/A,,14823,,41375,41375,,2
H1,2003,2003,2003,6,1,0,X,608,Philippines,PHL,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,41508,-1,N/A,,41,,19330,,19330,2
H1,2003,2003,2003,6,1,0,X,608,Philippines,PHL,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,34422,-1,N/A,,25,,16030,,16030,2
